zip5,state,event_id,event_name,month,day,category,pet_impact,slot_triggers,confidence,rationale,window_days_before,window_days_after
*,*,national_pet_day,National Pet Day,4,11,pet_specific,positive,"special_treats; grooming; photo_props",0.75,General pet celebration day,1,1
*,*,adopt_a_shelter_pet_month,Adopt a Shelter Pet Month,4,1,pet_specific,positive,"new_pet_supplies; introduction_aids",0.60,Increased pet adoptions,30,0
*,*,national_microchip_day,National Microchip Day,8,15,pet_specific,positive,"vet_visit_prep; calming",0.60,Vet visits for microchipping,3,3
*,*,world_rabies_day,World Rabies Day,9,28,pet_specific,positive,"vet_visit_prep; calming",0.65,Vaccination awareness and vet visits,7,7
*,*,flea_tick_season_start,Flea & Tick Season Start,4,1,seasonal,negative,"flea_tick_prevention; grooming",0.85,Parasite activity increases,14,180
*,*,heartworm_season_start,Heartworm Season Start,4,15,seasonal,negative,"heartworm_prevention; vet_visit_prep",0.80,Mosquito activity increases,14,150
*,*,shedding_season_spring,Spring Shedding Season,3,1,seasonal,neutral,"grooming; deshedding_tools",0.90,Heavy shedding period begins,14,60
*,*,shedding_season_fall,Fall Shedding Season,9,1,seasonal,neutral,"grooming; deshedding_tools",0.85,Winter coat preparation shedding,14,45
*,*,allergy_season_spring,Spring Allergy Season,3,15,seasonal,negative,"allergy_support; air_filter; grooming",0.85,Pollen and environmental allergens peak,30,75
*,*,allergy_season_fall,Fall Allergy Season,9,1,seasonal,negative,"allergy_support; air_filter; grooming",0.75,Ragweed and mold allergens,30,60
*,*,hot_car_awareness,Hot Car Awareness Month,5,1,seasonal,negative,"cooling; travel_safety; hydration",0.80,Dangerous car temperatures begin,30,120
*,*,senior_pet_month,Senior Pet Month,11,1,pet_specific,positive,"senior_supplements; comfort_aids; vet_visit_prep",0.70,Focus on senior pet health,30,0
*,*,lost_pet_prevention_month,Lost Pet Prevention Month,7,1,pet_specific,positive,"id_tags; gps_tracking; microchip_check",0.65,Summer travel increases lost pet risk,30,0
*,*,fireworks_season,Fireworks Season,6,15,seasonal,negative,"calming_fireworks; anxiety_noise; sound_therapy",0.85,Extended period of firework activity,45,45
*,*,thunderstorm_season,Thunderstorm Season,4,1,seasonal,negative,"calming_storms; anxiety_thunder; safe_space",0.80,Peak storm activity period,60,150
*,*,construction_season,Construction Season,4,1,seasonal,negative,"calming_noise; white_noise; anxiety_construction",0.70,Road work and building projects increase,90,180
*,*,moving_season,Moving Season,5,1,seasonal,neutral,"travel_kit; calming; routine_adjustment",0.75,Peak moving period affects neighborhoods,60,120
*,*,vacation_season,Summer Vacation Season,6,1,seasonal,neutral,"boarding_prep; travel_kit; separation_anxiety",0.80,Families travel more frequently,90,90
*,*,hunting_season,Hunting Season,10,1,seasonal,negative,"calming_gunshots; reflective_gear; leash_safety",0.65,Gunshot sounds in rural areas,90,120
*,*,leaf_blower_season,Leaf Blower Season,10,1,seasonal,negative,"calming_noise; anxiety_equipment",0.75,Loud landscaping equipment use,60,60
*,*,lawn_mower_season,Lawn Mowing Season,4,1,seasonal,negative,"calming_noise; anxiety_equipment",0.80,Regular loud equipment use,120,150
*,*,ice_cream_truck_season,Ice Cream Truck Season,5,1,seasonal,negative,"doorbell_training; calming_music_trucks",0.60,Repetitive musical sounds,90,120
*,*,school_bell_schedule,School Year Schedule,8,25,seasonal,neutral,"routine_adjustment; schedule_training",0.70,Regular bell sounds and activity,180,180
